hash,search_model,ncoeff,n_train,test_energy_mae_per_atom_eV,test_energy_rmse_per_atom_eV,fit_time_s,meets_all_criteria,error_from_fit,rcut,regularization,weight_energy,weight_force,bessel_polynomial_degree,inverse_polynomial_degree,two_body_radial,three_body_radial,three_body_angular,four_body_radial,four_body_angular,five_body_radial,five_body_angular,six_body_radial,six_body_angular,seven_body_radial,seven_body_angular,tblg_21.78_converged,tblg_21.78_fmax_initial,tblg_21.78_fmax_after,tblg_21.78_ab_separation,tblg_21.78_aa_separation,tblg_21.78_sep_min,tblg_21.78_sep_max,tblg_21.78_ab_in_target,tblg_21.78_aa_in_target,tblg_21.78_sep_min_in_target,tblg_21.78_sep_max_in_target,tblg_21.78_ab_lt_aa,tblg_21.78_separations_ok,tblg_21.78_error,tblg_9.43_converged,tblg_9.43_fmax_initial,tblg_9.43_fmax_after,tblg_9.43_ab_separation,tblg_9.43_aa_separation,tblg_9.43_sep_min,tblg_9.43_sep_max,tblg_9.43_ab_in_target,tblg_9.43_aa_in_target,tblg_9.43_sep_min_in_target,tblg_9.43_sep_max_in_target,tblg_9.43_ab_lt_aa,tblg_9.43_separations_ok,tblg_9.43_error
11aed783b2e7aaff,POD_energy,86,988,0.0017632876300972301,0.003880465466409145,18.635429859161377,False,,6.0,1e-12,1000.0,1.0,2,8,11,4,4,4,4,2,2,0,0,0,0,True,0.10288025805168255,0.002055837859436846,3.4631980849405757,3.4717631691600808,3.463198084891829,3.4717631695550395,True,True,True,True,True,True,,False,0.10103531846862093,0.053980152645709836,3.446437206701521,3.4923534415562507,3.4464372066965296,3.4923534416737283,True,True,True,True,True,True,
9579db3e174b3d03,POD_energy,93,988,0.001972676782092023,0.004639038360484123,26.102850675582886,True,,6.0,1e-12,1000.0,1.0,2,8,8,6,4,4,4,2,2,0,0,0,0,True,0.1393623131494642,0.001844878268630777,3.505961705334812,3.5108752885566936,3.5059617028497456,3.5108752887127608,True,True,True,True,True,True,,True,0.19206832765988613,0.0017376007005749227,3.4813974082314765,3.5584890773098685,3.4813974082312242,3.558489077309943,True,True,True,True,True,True,
31f2e2746e2f74b4,POD_energy,97,988,0.0018794989893266528,0.004261193926975618,26.45364761352539,True,,6.0,1e-12,1000.0,1.0,2,8,12,6,4,4,4,2,2,0,0,0,0,True,0.1175129792222217,0.0023311852244342532,3.5226612182408843,3.5287596538077075,3.52266121705059,3.5287596539138377,True,True,True,True,True,True,,True,0.1819049158903488,0.001870670564975987,3.5077486378669,3.549403964505018,3.5077486378657596,3.54940396450521,True,True,True,True,True,True,
a0621b22fd1f3248,POD_energy,123,988,0.001934771786754071,0.0042617623272077935,31.70655632019043,False,,6.0,1e-12,1000.0,1.0,2,8,12,8,6,4,4,2,2,0,0,0,0,True,0.1386024993567935,0.0019294240374255018,3.5652283961496636,3.5839233988438153,3.5652283952506565,3.5839233997147133,True,True,True,True,True,True,,False,0.14236294700697122,,,,,,,,,,,,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 0 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair"
832518108a8ea13f,POD_energy,158,988,0.0020046329708207733,0.00466149642949754,74.06886458396912,False,,6.0,1e-12,1000.0,1.0,2,8,13,10,8,4,4,2,2,0,0,0,0,True,0.21552136405579347,0.004198883476548382,3.396594257722164,3.431423659580794,3.396594240463081,3.4314237014797655,True,True,True,True,True,True,,False,0.19728870247280236,,,,,,,,,,,,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 4 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.01

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair"
879e81d39f305ea3,POD_energy,136,988,0.0020850625595323015,0.004892496404687071,50.63880920410156,True,,6.0,1e-12,1000.0,1.0,2,8,9,8,8,4,4,2,2,0,0,0,0,True,0.1317455038282928,0.001855392051530461,3.405738736681279,3.4262209209409953,3.4057387263586776,3.426220925324138,True,True,True,True,True,True,,True,0.12755434611053695,0.004380667981860196,3.199457106156224,3.5899546717406245,3.199457106153858,3.5899546717435626,True,True,True,True,True,True,
82af23f829e121ed,POD_energy,104,988,0.0018721895114515703,0.004101083574662349,37.412054777145386,True,,6.0,1e-12,1000.0,1.0,2,8,7,6,6,4,4,2,2,0,0,0,0,True,0.11287965517971614,0.0022488126393545487,3.4953882850783202,3.5066170756126347,3.4953882848288416,3.506617076885483,True,True,True,True,True,True,,True,0.1460010691342111,0.0031979416434758604,3.3883864965816706,3.545644512444877,3.3883864965815675,3.545644512445186,True,True,True,True,True,True,
2b7b52743db83213,POD_energy,118,988,0.0020090805092074933,0.004364827775242293,23.132739782333374,True,,6.0,1e-12,1000.0,1.0,2,8,13,10,4,4,4,2,2,0,0,0,0,True,0.1543218095421417,0.0019931735378354073,3.4896887991230194,3.511999750464984,3.489688798955598,3.5119997504701885,True,True,True,True,True,True,,True,0.13835448722732752,0.001937578803285269,3.4027431979197225,3.6447719700231964,3.402743197149917,3.6447719702628305,True,True,True,True,True,True,
f36ddfe36a7d4fba,POD_energy,136,988,0.0019004352221103726,0.004320769018256097,31.04671812057495,False,,6.0,1e-12,1000.0,1.0,2,8,11,10,6,4,4,2,2,0,0,0,0,True,0.23466100972497764,0.0020521762235618537,3.501502235688722,3.5302320326590113,3.5015022356672176,3.530232032668401,True,True,True,True,True,True,,False,0.18054363754686995,,,,,,,,,,,,"RuntimeError: Relaxation failed in PODLammpsCalculator.relax_structure (LAMMPS FIRE)
Original error (Exception): ERROR: Lost atoms: original 148 current 136 (src/thermo.cpp:510)
Last input line: minimize 1e-09 0.

--- diagnostics ---
Structure: N=148 atoms, z span [20.0000, 23.3500] Å
Min pair"
948871a365eedb46,POD_energy,137,988,0.0020853891919986067,0.0048981918890911354,45.576326847076416,True,,6.0,1e-12,1000.0,1.0,2,8,10,8,8,4,4,2,2,0,0,0,0,True,0.13184041045802358,0.002007408563961359,3.405522874524788,3.4264831224394747,3.405522810574084,3.4264831411527297,True,True,True,True,True,True,,True,0.12894589042809887,0.0042802019640448994,3.1725486873555866,3.6004372056589595,3.172548687354194,3.6004372056670135,True,True,True,True,True,True,
